ID,SCORE
827207023741792256,0.0
827207361538433024,0.0
827207726107394048,0.0
827208012888682500,0.0
827208053871239168,0.0
827208191628935169,0.0
827208368372727808,0.0
827208716885819392,0.0
827208811471581185,0.0
827208928236802048,0.0
827209045564125184,0.0
827209383717244928,1.0
827209471617277954,1.0
827210051786010625,1.0
827210349422247937,1.0
827210847831199744,1.0
827210903468781568,0.0
827211463911682050,0.714
827211683970052096,0.0
827211952694910978,1.0
827212282442743809,0.714
827212890339962887,-1.0
827213149979959296,0.0
827213261389049858,0.0
827213481699004416,1.0
827213897476222976,1.0
827214000609980416,1.0
827214154431873026,0.0
827214302658572289,1.0
827214460611915777,0.714
827214713717194754,1.0
827215010720051205,1.0
827215788184633346,1.0
827215853120790528,1.0
827215963267485696,1.0
827216362372157440,0.0
827216950019305472,1.0
827217249496764416,0.381
827217318128340992,1.0
827217862137896960,0.597
827218049774268418,1.0
827218089364189184,0.0
827218464326680576,1.0
827218706300272640,0.0
827219186258681857,0.0
827219428307763200,0.0
827219498298118144,0.0
827219514538487814,0.0
827219525473038336,0.0
827219538349531137,1.0
827219558025068545,0.0
827219781896065024,0.0
827220193537519616,0.0
827220373196435457,0.0
827220916321058816,1.0
827220999372492800,0.0
827221404076691456,0.0
827221808587866114,0.714
827221864967704577,0.0
827221895410020352,0.0
827222014461169664,1.0
827222280476454912,0.0
827222811164938242,1.0
827222937941970944,0.0
827223350346911746,0.0
827223557486829568,0.0
827223668380069890,0.0
827223856494546945,1.0
827224081854513152,0.381
827224382137327616,-1.0
827225180120420353,0.22
827225324098301953,0.0
827225357732478977,0.0
827225591195824128,0.0
827225837531435012,0.0
827225966724468736,0.0
827226287102111745,0.0
827226340382347264,0.0
827226438524928001,0.0
827226742741991429,0.714
827226814170935296,0.0
827226896215703552,0.30200000000000005
827227698242211840,0.0
827228198958223360,0.0
827228698386403328,0.0
827228711166496769,1.0
827229080965808129,0.0
827230423407329280,1.0
827230738592518150,0.0
827231008093241345,0.661
827231162049425409,0.0
827231246728196104,0.0
827231300645957632,-1.0
827231542367940608,1.0
827231915648262144,0.0
827232102534017024,0.0
827232118556205057,0.0
827232637400055808,0.398
827232741393649665,0.0
827233564244611072,0.0
827233618971893761,0.0
827234519715631104,0.0
827235596779257856,0.0
827235751846879232,0.0
827236909185384448,0.0
827238636202639361,0.0
827238994912083970,0.0
827239004810649600,0.398
827239190496735234,0.171
827239200630136833,0.0
827239260671639552,0.0
827239303885492225,0.0
827239314153205764,0.398
827239329655377922,1.0
827239612066177025,0.597
827239950416494592,1.0
827240133376086016,0.0
827240626395738112,0.0
827242091260542976,0.0
827242516852436993,0.0
827242536116875265,1.0
