id,polarity,score
809511043751780352,Neutral,0.0
809511046222413825,Positive,1.0
809511087456612353,Positive,0.302
809511162580762625,Positive,0.141
809511166078750720,Neutral,0.0
809511171736932353,Positive,0.166
809511590106107909,Neutral,0.0
809511716425965568,Neutral,0.0
809511727331233792,Positive,0.165
809511862702325760,Positive,0.165
809512153103433728,Neutral,0.0
809512184363515905,Negative,-0.115
809512588694450176,Neutral,0.0
809512742067597313,Neutral,0.0
809512957721907200,Neutral,0.0
809513011098583041,Positive,0.7970000000000002
809513148621299712,Positive,0.677
809513226626945024,Positive,0.677
809513335594962945,Neutral,0.0
809513549634617344,Neutral,0.0
809513701053263873,Positive,0.506
809514380245274625,Neutral,0.0
809514424893632513,Positive,0.165
809514807497986049,Neutral,0.0
809514962532057089,Neutral,0.0
809515009327955972,Neutral,0.0
809515233798721536,Positive,0.2
809515355529969664,Positive,0.286
809515811140489217,Positive,0.294
809515990082027520,Positive,0.2
809516232441479168,Neutral,0.0
809516269154299909,Negative,-0.146
809516407343853568,Neutral,0.0
809516409495711748,Neutral,0.0
809516462155120640,Neutral,0.0
809516527795904512,Negative,-0.146
809516592564469760,Negative,-0.146
809516686944731136,Neutral,0.0
809516719094038528,Neutral,0.0
809516799569993728,Positive,0.209
809516967765807104,Neutral,0.0
809517171139346432,Neutral,0.0
809517669137416194,Neutral,0.0
809517676167106560,Neutral,0.0
809517833289953280,Positive,0.412
809518425861214210,Neutral,0.0
809518650684276736,Negative,-0.13
809518842791817216,Neutral,0.0
809518854535688193,Positive,0.451
809519112158228480,Positive,0.403
809519128679628800,Neutral,0.0
809519137986846725,Neutral,0.0
809520165167792128,Positive,0.2
809520412526841856,Neutral,0.0
809520466956341250,Neutral,0.0
809520517950517248,Neutral,0.0
809520643519680512,Positive,0.2
809521471492132866,Positive,0.165
809521555940089856,Neutral,0.0
809522124834607104,Neutral,0.0
809522179230625792,Positive,0.176
809522175405236226,Neutral,0.0
809522444205748224,Neutral,0.0
809522641367396352,Negative,-0.375
809522655741284352,Neutral,0.0
809522986009186305,Positive,0.2
809523112366710784,Neutral,0.0
809523240456585216,Positive,0.592
809523969858666498,Positive,0.2
809524055179137026,Neutral,0.0
809524119964385280,Neutral,0.0
809525031650914304,Neutral,0.0
809525491614957568,Positive,0.265
809525748159676421,Negative,-0.13
809526153295884290,Neutral,0.0
809528965216010241,Positive,0.182
809529942631469060,Neutral,0.0
809530069676883968,Negative,-0.31
809530280004513792,Neutral,0.0
809530554332958721,Neutral,0.0
809530959116771328,Positive,0.165
809531198863183872,Positive,0.451
809531210892529664,Neutral,0.0
809531231423647744,Negative,-0.381
809531489276887040,Neutral,0.0
809531561859223552,Neutral,0.0
809531585586401280,Positive,0.8
809531913689972736,Neutral,0.0
809532005289443328,Neutral,0.0
809532183119597568,Negative,-0.381
809532212932706304,Positive,0.405
809532438607200256,Positive,0.157
809532493846183940,Neutral,0.0
809533084005609472,Neutral,0.0
809533557593010177,Neutral,0.0
809533573929771008,Positive,0.268
809533788141322240,Neutral,0.0
809533840490397699,Neutral,0.0
809533861017350144,Neutral,0.0
